@stboundedby, urn:ogc:def:crs:JPL::0, 3D, -1.434473756290588E8 -1.405865069116277E8 -6.736821497661304E7, 1.556042895220669E8 1.305935049747964E8 6.170964906947813E7, 2021-11-24T07:17:53Z, 2022-09-29T23:57:53.000030518Z, minute
@columns, mfidref, trajectory
DART,      0,    500,   6.824091038511495E+07   1.200505148471484E+08   5.206485698546032E+07
DART,    500,   1000,   6.739348857714936E+07   1.203210992790753E+08   5.228518800056498E+07
DART,   1000,   1500,   6.655848647412232E+07   1.206154519423925E+08   5.249609986460267E+07
DART,   1500,   2000,   6.572341504657031E+07   1.209113435367612E+08   5.270221497344170E+07
DART,   2000,   2500,   6.488698690730920E+07   1.212056985626351E+08   5.290486818050676E+07
DART,   2500,   3000,   6.404876293010315E+07   1.214973459175369E+08   5.310460566936178E+07
DART,   3000,   3500,   6.320854682056468E+07   1.217856942214486E+08   5.330170740295895E+07
DART,   3500,   4000,   6.236624055916224E+07   1.220703953493055E+08   5.349633570650556E+07
DART,   4000,   4500,   6.152179410796908E+07   1.223512228896087E+08   5.368859220708498E+07
DART,   4500,   5000,   6.067518361688761E+07   1.226280182065624E+08   5.387854360653331E+07
DART,   5000,   5500,   5.982640115048295E+07   1.229006642334912E+08   5.406623526911105E+07
DART,   5500,   6000,   5.897544871475646E+07   1.231690706905893E+08   5.425169855828103E+07
DART,   6000,   6500,   5.812233561634501E+07   1.234331650730412E+08   5.443495546181353E+07
DART,   6500,   7000,   5.726707543501126E+07   1.236928878682725E+08   5.461602114998899E+07
DART,   7000,   7500,   5.640968537726267E+07   1.239481886874225E+08   5.479490597972723E+07
DART,   7500,   8000,   5.555018523974000E+07   1.241990240167598E+08   5.497161670360242E+07
DART,   8000,   8500,   5.468859680818557E+07   1.244453555926853E+08   5.514615734429459E+07
DART,   8500,   9000,   5.382494343368851E+07   1.246871492449202E+08   5.531852982173230E+07
DART,   9000,   9500,   5.295924972023018E+07   1.249243740460501E+08   5.548873441293716E+07
DART,   9500,  10000,   5.209154130360236E+07   1.251570017053362E+08   5.565677009550131E+07
DART,  10000,  10500,   5.122184467015893E+07   1.253850060638912E+08   5.582263480888857E+07
DART,  10500,  11000,   5.035018702760631E+07   1.256083627406861E+08   5.598632565583515E+07
DART,  11000,  11500,   4.947659618568949E+07   1.258270488256297E+08   5.614783905557384E+07
DART,  11500,  12000,   4.860110052686116E+07   1.260410427400140E+08   5.630717088097464E+07
DART,  12000,  12500,   4.772372891542664E+07   1.262503240412343E+08   5.646431651863345E+07
DART,  12500,  13000,   4.684451063848589E+07   1.264548732562826E+08   5.661927096263546E+07
DART,  13000,  13500,   4.596347531291635E+07   1.266546715766876E+08   5.677202901903788E+07
DART,  13500,  14000,   4.508065291752143E+07   1.268497010532451E+08   5.692258514575876E+07
DART,  14000,  14500,   4.419607371362280E+07   1.270399443981932E+08   5.707093356800243E+07
DART,  14500,  15000,   4.330976837858270E+07   1.272253849263571E+08   5.721706845625152E+07
DART,  15000,  15500,   4.242176777803229E+07   1.274060065406830E+08   5.736098373497785E+07
DART,  15500,  16000,   4.153210301951498E+07   1.275817935974354E+08   5.750267329878405E+07
DART,  16000,  16500,   4.064080552886777E+07   1.277527309114271E+08   5.764213091363147E+07
DART,  16500,  17000,   3.974790691901175E+07   1.279188037623997E+08   5.777935026172866E+07
DART,  17000,  17500,   3.885343901871289E+07   1.280799978328096E+08   5.791432498047292E+07
