@stboundedby, urn:ogc:def:crs:JPL::0, 3D, -2.399009211149789E8 -2.600503793378296E8 -1.128053022057934E8, 1.594158811484139E8 2.306403707413973E7 884091.9549210322, 2021-11-24T00:00:00Z, 2022-09-30T00:00:00Z, minute
@columns, mfidref, trajectory
DART,      0,    500,  -2.399009211149789E+08  -2.197847597866884E+08  -8.486100409484243E+07
DART,    500,   1000,  -2.395270074034736E+08  -2.200427418443480E+08  -8.500157096911532E+07
DART,   1000,   1500,  -2.391523435762360E+08  -2.203000257135218E+08  -8.514186855044459E+07
DART,   1500,   2000,  -2.387769286812965E+08  -2.205566146997555E+08  -8.528189727361111E+07
DART,   2000,   2500,  -2.384007597117848E+08  -2.208125047865278E+08  -8.542165512259945E+07
DART,   2500,   3000,  -2.380238415437579E+08  -2.210676920537178E+08  -8.556114137723573E+07
DART,   3000,   3500,  -2.376461761456580E+08  -2.213221798387275E+08  -8.570035695020741E+07
DART,   3500,   4000,  -2.372677594360155E+08  -2.215759668081679E+08  -8.583930042817110E+07
DART,   4000,   4500,  -2.368885940529232E+08  -2.218290473087507E+08  -8.597797022789314E+07
DART,   4500,   5000,  -2.365086844545910E+08  -2.220814230746005E+08  -8.611636719726880E+07
DART,   5000,   5500,  -2.361280272353952E+08  -2.223330955034873E+08  -8.625449082113953E+07
DART,   5500,   6000,  -2.357466221239616E+08  -2.225840588136507E+08  -8.639233900970605E+07
DART,   6000,   6500,  -2.353644747409339E+08  -2.228343120771385E+08  -8.652991202594963E+07
DART,   6500,   7000,  -2.349815838641697E+08  -2.230838584847860E+08  -8.666721022385554E+07
DART,   7000,   7500,  -2.345979466909305E+08  -2.233326937757462E+08  -8.680423154536803E+07
DART,   7500,   8000,  -2.342135682587680E+08  -2.235808142591657E+08  -8.694097535848543E+07
DART,   8000,   8500,  -2.338284502504160E+08  -2.238282233328618E+08  -8.707744254319625E+07
DART,   8500,   9000,  -2.334425886232160E+08  -2.240749193563921E+08  -8.721363159925309E+07
DART,   9000,   9500,  -2.330559862971551E+08  -2.243208967694700E+08  -8.734954101141261E+07
DART,   9500,  10000,  -2.326686475349856E+08  -2.245661575145356E+08  -8.748517165210496E+07
DART,  10000,  10500,  -2.322805687934158E+08  -2.248107027247838E+08  -8.762052290306570E+07
DART,  10500,  11000,  -2.318917501046160E+08  -2.250545265361602E+08  -8.775559269511481E+07
DART,  11000,  11500,  -2.315021970573798E+08  -2.252976282962986E+08  -8.789038136146192E+07
DART,  11500,  12000,  -2.311119081679799E+08  -2.255400110637435E+08  -8.802488917123951E+07
DART,  12000,  12500,  -2.307208808524231E+08  -2.257816703441283E+08  -8.815911402948035E+07
DART,  12500,  13000,  -2.303291202945053E+08  -2.260226026844895E+08  -8.829305539204608E+07
DART,  13000,  13500,  -2.299366278887935E+08  -2.262628115246702E+08  -8.842671410015380E+07
DART,  13500,  14000,  -2.295433996508013E+08  -2.265022949179755E+08  -8.856008856964535E+07
DART,  14000,  14500,  -2.291494387752486E+08  -2.267410474128473E+08  -8.869317735631323E+07
DART,  14500,  15000,  -2.287547493171636E+08  -2.269790711471730E+08  -8.882598135106765E+07
DART,  15000,  15500,  -2.283593276130689E+08  -2.272163669797854E+08  -8.895849983216010E+07
DART,  15500,  16000,  -2.279631740025426E+08  -2.274529289811997E+08  -8.909073075617525E+07
DART,  16000,  16500,  -2.275662940252316E+08  -2.276887567716327E+08  -8.922267452253924E+07
DART,  16500,  17000,  -2.271686859454825E+08  -2.279238532601927E+08  -8.935433131176132E+07
DART,  17000,  17500,  -2.267703474119028E+08  -2.281582137306179E+08  -8.948569899719562E+07
DART,  17500,  18000,  -2.263712837388010E+08  -2.283918349754814E+08  -8.961677712188642E+07
DART,  18000,  18500,  -2.259714960312939E+08  -2.286247204580301E+08  -8.974756648231776E+07
DART,  18500,  19000,  -2.255709803822834E+08  -2.288568679272140E+08  -8.987806541369623E+07
DART,  19000,  19500,  -2.251697402530923E+08  -2.290882720554425E+08  -9.000827254558745E+07
DART,  19500,  20000,  -2.247677794796286E+08  -2.293189351623673E+08  -9.013818878121872E+07
DART,  20000,  20500,  -2.243650942962484E+08  -2.295488578236437E+08  -9.026781329533584E+07
DART,  20500,  21000,  -2.239616853527099E+08  -2.297780340613965E+08  -9.039714407529710E+07
DART,  21000,  21500,  -2.235575581224853E+08  -2.300064637643107E+08  -9.052618158244258E+07
DART,  21500,  22000,  -2.231527106286951E+08  -2.302341496754094E+08  -9.065492590518728E+07
DART,  22000,  22500,  -2.227471407655983E+08  -2.304610868689311E+08  -9.078337489052120E+07
DART,  22500,  23000,  -2.223408539618706E+08  -2.306872723896215E+08  -9.091152816761962E+07
DART,  23000,  23500,  -2.219338510330819E+08  -2.309127097053471E+08  -9.103938648240329E+07
DART,  23500,  24000,  -2.215261281685275E+08  -2.311373962636836E+08  -9.116694809298681E+07
